tel,tel+hash,value ,is_optinized ,dedup 
601020304,601020304a74F7g901bF9EAC5,334fe79a1b8c1f15ddcc89cc6dfb23c677d9a8b0f505ef3d52ee19724abbcb29,True,1db38b7a-6def-4af7-965e-49bd7381348c 
612345678,612345678a74F7g901bF9EAC5,812e3ea272f863ceb292c673bae4c1c4a2ec7b0491ba4dc43cb3b25c09e6dc38,True,1db38b7a-6def-4af7-965e-49bd7381348c 
623456789,623456789a74F7g901bF9EAC5,9743d94956009c5d97c33ee67ffd4695944588ec7dfb7c8a379273d6d6d90095,True,1db38b7a-6def-4af7-965e-49bd7381348c 
634567890,634567890a74F7g901bF9EAC5,fff0d67e58dbc24bee4df82458177abc9cb96a280a6549635ccff0ca97d68a2b,True,1db38b7a-6def-4af7-965e-49bd7381348c 
645678901,645678901a74F7g901bF9EAC5,632f9c3050a6a92a5069b1315d21ee0b409279e3cc56d28aed12c8590aad98a8,True,1db38b7a-6def-4af7-965e-49bd7381348c 
656789012,656789012a74F7g901bF9EAC5,f7c5b0fce4039b6d2a65ad2ad0d334732d4b65955ba8c3cea31a882c67cbc8b6,True,1db38b7a-6def-4af7-965e-49bd7381348c 
667890123,667890123a74F7g901bF9EAC5,29088d9916d37dbc7174743020a9134ddaac028f8c42be259b49c87145494c86,True,1db38b7a-6def-4af7-965e-49bd7381348c 
678901234,678901234a74F7g901bF9EAC5,b5a9e1804015c8e0e011bd3239e340cbd07e60e70aa6c992a13250a4a75faf1e,True,1db38b7a-6def-4af7-965e-49bd7381348c 
689012345,689012345a74F7g901bF9EAC5,17d65f5b6fdb6da7c30caa28489050ad7465b7c5d566d74f17f8f60ba88195ed,True,1db38b7a-6def-4af7-965e-49bd7381348c 
690123456,690123456a74F7g901bF9EAC5,832ef20c1f792e3a1ae6871e344ee346d9da16acc3b32b13b645a7066a1ab14a,True,1db38b7a-6def-4af7-965e-49bd7381348c 
608999007,608999007a74F7g901bF9EAC5,7c49c3dbc835eabffa48868facefd3524e585e608c7f2adaf6e7b798e37349f1,True,1db38b7a-6def-4af7-965e-49bd7381348c 
